Vendor Name,Field,Pass-1,QA-Correction,QA Rationale
Navan (Tripactions Inc),Recommendation,Protected,Optimize,"Navan is the main travel platform but is not statutory or M&A transaction-related. It is an ongoing SaaS service eligible for contract renegotiation and scope optimization, not Protected status."
Bdo Llp,Recommendation,Protected,Optimize,"BDO is the statutory auditor, but routine audit services are not Protected under acquisition rules. Protected applies only to M&A transaction advisors or mandatory government fees. Statutory audit is required but scope/fees can be renegotiated — hence Optimize."
Hr Solution International Gmbh,Description,HR consulting or software services from German entity,HR consulting and outsourcing services provider,"HRSolution International is a known HR outsourcing/consulting firm with DACH presence. Given 'Hrsolution International Ag' likely exists as duplicate entry, mark for consolidation under single vendor record. Scope is HR services, not ambiguous enough to warrant Investigate."
Hr Solution International Gmbh,Recommendation,Investigate,Consolidate,"HRSolution International is a known HR outsourcing/consulting firm with DACH presence. Given 'Hrsolution International Ag' likely exists as duplicate entry, mark for consolidation under single vendor record. Scope is HR services, not ambiguous enough to warrant Investigate."
"Navan, Inc",Recommendation,Protected,Optimize,"Navan is the main travel platform but is a recurring SaaS/service vendor, not a statutory or M&A transaction cost. Should be retained but renegotiated for better rates or scope—not Protected."
SveuäIliå¡Te U Zagrebu,Department,Statutory / Non-discretionary,People & HR,"Croatian universities are not statutory levies for private companies. This is likely an intern/apprentice program, academic partnership, or employee training arrangement. Zero spend suggests inactive or prepaid. Not a mandatory government fee — reclassify to People & HR and investigate actual purpose."
SveuäIliå¡Te U Zagrebu,Description,University of Zagreb — likely statutory education tax or levy,University of Zagreb — likely intern program or training partnership,"Croatian universities are not statutory levies for private companies. This is likely an intern/apprentice program, academic partnership, or employee training arrangement. Zero spend suggests inactive or prepaid. Not a mandatory government fee — reclassify to People & HR and investigate actual purpose."
SveuäIliå¡Te U Zagrebu,Recommendation,Protected,Investigate,"Croatian universities are not statutory levies for private companies. This is likely an intern/apprentice program, academic partnership, or employee training arrangement. Zero spend suggests inactive or prepaid. Not a mandatory government fee — reclassify to People & HR and investigate actual purpose."
Ss&C Intralinks Inc,Recommendation,Optimize,Protected,"SS&C Intralinks is a VDR provider tied to M&A transactions. Per Rule 10, deal-related M&A infrastructure is Protected as one-time transaction cost, not recurring operational spend to optimize."
Veniture D.O.O.,Department,Facilities,Engineering,"Veniture is a known Croatian software development and IT consulting company, not a facilities provider. However, specific engagement scope (staff augmentation, project work, etc.) needs verification to determine if services overlap with internal engineering or can be consolidated."
Veniture D.O.O.,Description,Croatian local facilities or office services provider,Croatian software development or IT consulting firm,"Veniture is a known Croatian software development and IT consulting company, not a facilities provider. However, specific engagement scope (staff augmentation, project work, etc.) needs verification to determine if services overlap with internal engineering or can be consolidated."
Agram Life Osiguranje D.O.O.,Recommendation,Protected,Optimize,"Life insurance for employees is a benefit, not a statutory/mandatory requirement in Croatia. Employee benefits are negotiable and can be optimized for cost/coverage. Protected is reserved for true statutory obligations and one-time M&A fees."
Eurofast International Ltd-Greec,Recommendation,Investigate,Optimize,Eurofast is a known regional accounting/tax advisory firm serving multinational subsidiaries. Greece presence likely supports statutory compliance for a legal entity. Not legacy without evidence — recommend Optimize to review scope and fee structure rather than Investigate.
Sodexo Svc India Private Limited,Department,Facilities,Employee Experience,"Sodexo India primarily provides catering/food services for employees, which falls under Employee Experience per rules, not Facilities. Facilities is for real estate, utilities, maintenance only."
Sodexo Svc India Private Limited,Description,Chennai office catering and facility management services,Chennai office catering and food services provider,"Sodexo India primarily provides catering/food services for employees, which falls under Employee Experience per rules, not Facilities. Facilities is for real estate, utilities, maintenance only."
Plus Your Business Ltd,Recommendation,Investigate,Consolidate,"Name clearly indicates UK bookkeeping/accounting outsourcing. With BDO as main audit firm, this should be consolidated into BDO's scope or eliminated. No investigation needed - standard local compliance bookkeeping that can be folded into primary audit relationship."
Konzum Plus D.O.O.,Department,Facilities,Employee Experience,"Konzum Plus is Croatia's largest supermarket/grocery chain, not an office supplies vendor. Spend likely covers employee snacks, beverages, and pantry items — belongs in Employee Experience, not Facilities."
Konzum Plus D.O.O.,Description,Croatian office supplies and consumables provider,Croatian supermarket chain for office groceries and snacks,"Konzum Plus is Croatia's largest supermarket/grocery chain, not an office supplies vendor. Spend likely covers employee snacks, beverages, and pantry items — belongs in Employee Experience, not Facilities."
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,Department,Facilities,G&A,"Business consulting ('poslovno savjetovanje') is G&A, not Facilities. Facilities is for real estate, utilities, maintenance, couriers. Agree scope is unclear and needs investigation, but department correction required."
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,Description,"Croatian business consulting services, likely local office support",Croatian boutique business consulting firm,"Business consulting ('poslovno savjetovanje') is G&A, not Facilities. Facilities is for real estate, utilities, maintenance, couriers. Agree scope is unclear and needs investigation, but department correction required."
Poles Ltd - Hanbury Manor,Department,Travel & Entertainment,Employee Experience,"Hanbury Manor is typically used for team offsites/events, which falls under Employee Experience rather than Travel & Entertainment. T&E is for individual business travel; team events and offsites belong in Employee Experience per classification rules."
Poles Ltd - Hanbury Manor,Description,UK hotel and event venue (Hanbury Manor resort),UK hotel venue for team events or offsites,"Hanbury Manor is typically used for team offsites/events, which falls under Employee Experience rather than Travel & Entertainment. T&E is for individual business travel; team events and offsites belong in Employee Experience per classification rules."
Catering Muring,Department,Facilities,Employee Experience,"Employee food/catering belongs in Employee Experience, not Facilities per classification rules. Recommendation unchanged."
Omonia D.O.O.,Department,Facilities,Employee Experience,"Omonia is a well-known catering/restaurant brand in Croatia, not a facilities/maintenance vendor. Should be categorized under Employee Experience for employee meals/catering and consolidated with other Croatian food vendors."
Omonia D.O.O.,Description,Croatian local facilities or building maintenance services,Croatian catering or food service provider,"Omonia is a well-known catering/restaurant brand in Croatia, not a facilities/maintenance vendor. Should be categorized under Employee Experience for employee meals/catering and consolidated with other Croatian food vendors."
Omonia D.O.O.,Recommendation,Investigate,Consolidate,"Omonia is a well-known catering/restaurant brand in Croatia, not a facilities/maintenance vendor. Should be categorized under Employee Experience for employee meals/catering and consolidated with other Croatian food vendors."
Studentski Centar - Split,Department,Facilities,Employee Experience,"Employee meals and canteen services belong to Employee Experience, not Facilities per rule 4/5. Recommendation remains Optimize — negotiate rates or meal caps."
Studentski Centar - Split,Description,Student Center Split — likely canteen/cafeteria services for Croatia office,Student Center Split — subsidized canteen/cafeteria meals for Croatia office,"Employee meals and canteen services belong to Employee Experience, not Facilities per rule 4/5. Recommendation remains Optimize — negotiate rates or meal caps."
Intertrust Singapore Corporate Services Pte Ltd - Csc,Department,Legal,Statutory / Non-discretionary,"Statutory corporate services for Singapore entity (registered office, company secretary) are mandatory regulatory requirements, not discretionary legal spend. Moving to Statutory / Non-discretionary department while retaining Protected status."
Allianz Australia Workers' Compensation (Victoria) Limited,Department,Statutory / Non-discretionary,People & HR,"Workers' comp insurance belongs under People & HR per rules. While legally required, the carrier choice and pricing are negotiable — not Protected. Optimize to review rates/coverage."
Allianz Australia Workers' Compensation (Victoria) Limited,Recommendation,Protected,Optimize,"Workers' comp insurance belongs under People & HR per rules. While legally required, the carrier choice and pricing are negotiable — not Protected. Optimize to review rates/coverage."
Mosaic Concept D.O.O.,Department,Facilities,Employee Experience,"D.O.O. vendors with 'Concept' in name in Croatia typically provide event/catering services rather than facilities maintenance. At ~$5.7k annual spend, fits pattern of local caterer/event supplier. Should consolidate with other Croatian catering vendors rather than investigate."
Mosaic Concept D.O.O.,Description,Croatian office maintenance or facility services provider,Croatian event planning or catering services provider,"D.O.O. vendors with 'Concept' in name in Croatia typically provide event/catering services rather than facilities maintenance. At ~$5.7k annual spend, fits pattern of local caterer/event supplier. Should consolidate with other Croatian catering vendors rather than investigate."
Mosaic Concept D.O.O.,Recommendation,Investigate,Consolidate,"D.O.O. vendors with 'Concept' in name in Croatia typically provide event/catering services rather than facilities maintenance. At ~$5.7k annual spend, fits pattern of local caterer/event supplier. Should consolidate with other Croatian catering vendors rather than investigate."
Limes Plus D.O.O.,Description,Croatian facility services (likely cleaning or maintenance),Office cleaning and hygiene supplies provider in Croatia,"Limes Plus D.O.O. is a known Croatian cleaning/hygiene supplies and facility services company. For a Croatia office, this is a standard facilities vendor - not opaque enough to warrant Investigate. Low spend suggests scope optimization or competitive bidding."
Limes Plus D.O.O.,Recommendation,Investigate,Optimize,"Limes Plus D.O.O. is a known Croatian cleaning/hygiene supplies and facility services company. For a Croatia office, this is a standard facilities vendor - not opaque enough to warrant Investigate. Low spend suggests scope optimization or competitive bidding."
Tattu Manchester Limited,Department,Travel & Entertainment,Employee Experience,"Restaurant dining for teams/employees belongs in Employee Experience per rules, not Travel & Entertainment. Spend level suggests team meals or occasional events rather than client entertainment."
Tattu Manchester Limited,Description,UK restaurant/dining — likely client entertainment or team events,UK restaurant — team dining or employee meals,"Restaurant dining for teams/employees belongs in Employee Experience per rules, not Travel & Entertainment. Spend level suggests team meals or occasional events rather than client entertainment."
Profi Bar D.O.O.,Department,Facilities,Employee Experience,"Employee food/beverage services belong in Employee Experience, not Facilities per classification rules. Recommendation and description remain appropriate."
Pinnacle Partnership Ca,Description,Canadian accounting/bookkeeping services or financial advisory,"Canadian chartered accountants, likely local statutory or tax compliance","Pinnacle Partnership CA is a Canadian chartered accountancy firm. Given the global footprint, this is likely local statutory/tax compliance work rather than duplicative of BDO's group audit. Low spend suggests limited scope. Optimize to confirm necessity and consolidate if overlapping with other local accountants."
Pinnacle Partnership Ca,Recommendation,Investigate,Optimize,"Pinnacle Partnership CA is a Canadian chartered accountancy firm. Given the global footprint, this is likely local statutory/tax compliance work rather than duplicative of BDO's group audit. Low spend suggests limited scope. Optimize to confirm necessity and consolidate if overlapping with other local accountants."
Hep Elektra D.O.O.,Recommendation,Protected,Optimize,Electricity utilities are not statutory/mandatory in the Protected sense—they are essential operating costs but subject to rate negotiation and provider switching where deregulated. Should be Optimize to explore better rates or consolidate with other utility contracts.
Zivi Napitak D.O.O.,Department,Facilities,Employee Experience,"Employee beverages (coffee, drinks, snacks) belong to Employee Experience, not Facilities per Rule 4. Classification corrected; recommendation remains Optimize as consolidation with catering provider is sensible."
Akton D.O.O.,Department,Facilities,Statutory / Non-discretionary,"Agree this is mandatory OHS compliance under Croatian labor law, but department should be Statutory / Non-discretionary rather than Facilities since it's a regulatory requirement, not a facilities management service."
Akton D.O.O.,Description,Croatian occupational health and safety services,Croatian occupational health and safety compliance services,"Agree this is mandatory OHS compliance under Croatian labor law, but department should be Statutory / Non-discretionary rather than Facilities since it's a regulatory requirement, not a facilities management service."
Cleverland Winery Resort,Department,Travel & Entertainment,Employee Experience,"Team events and offsites belong to Employee Experience, not Travel & Entertainment per classification rules. Low spend suggests infrequent use; consolidate with preferred venue list."
Cleverland Winery Resort,Description,Corporate event venue or team offsite accommodation,Winery venue for team event or offsite,"Team events and offsites belong to Employee Experience, not Travel & Entertainment per classification rules. Low spend suggests infrequent use; consolidate with preferred venue list."
My Foodiverse Llp,Department,Facilities,Employee Experience,"Catering and employee food services belong to Employee Experience, not Facilities per classification rules. Low spend suggests occasional use; optimize via volume consolidation with other caterers."
City Pantry Ltd,Department,Facilities,Employee Experience,"Catering and employee meals belong to Employee Experience, not Facilities per classification rules. Recommendation and description remain appropriate."
Office Move London,Recommendation,Protected,Terminate,"One-time completed office move is not Protected (reserved for statutory/mandatory or M&A transaction fees). Since project is complete with no ongoing spend expected, Terminate is appropriate — no future action needed."
N S Shastri And Co,Description,India accounting/tax compliance services (Chennai region),India statutory accounting/tax compliance firm,"N S Shastri & Co is a recognized Chennai-based CA firm handling local statutory filings and tax compliance in India. With India office presence, local statutory compliance is mandatory and distinct from group audit (BDO). Low spend, retain but verify scope overlap with any other India finance vendors."
N S Shastri And Co,Recommendation,Investigate,Optimize,"N S Shastri & Co is a recognized Chennai-based CA firm handling local statutory filings and tax compliance in India. With India office presence, local statutory compliance is mandatory and distinct from group audit (BDO). Low spend, retain but verify scope overlap with any other India finance vendors."
"Yoxel, Inc",Department,IT & Infrastructure,Marketing,"Email signature management is a Marketing function (brand consistency), not IT & Infrastructure. Recommendation to terminate stands given low spend and availability of alternatives."
G S Notary Public Limited,Recommendation,Protected,Optimize,"Notary services are not statutory/mandatory vendors themselves - they are professional services used as needed. While sometimes required for specific transactions, the vendor relationship itself is not protected. Low spend suggests occasional use; could consolidate with other legal service providers or negotiate rates."
Porezno Savjetniå¡Tvo Tuk D.O.O.,Recommendation,Protected,Optimize,"Tax advisory services are professional services, not statutory/mandatory government fees. While useful for compliance, they are not Protected — the company chooses its tax advisor and can renegotiate or consolidate with other finance advisors. Low spend suggests minimal scope; review if needed or consolidate with broader finance advisory."
"Radius Group, Inc",Department,Travel & Entertainment,Marketing,"Radius Group Inc (now Radius Intelligence, acquired by Dun & Bradstreet) is a B2B data/marketing intelligence provider, not a travel company. Should be evaluated alongside other data enrichment tools like ZoomInfo, Clearbit, etc. for consolidation."
"Radius Group, Inc",Description,Corporate travel management and booking services,B2B contact data and sales intelligence platform,"Radius Group Inc (now Radius Intelligence, acquired by Dun & Bradstreet) is a B2B data/marketing intelligence provider, not a travel company. Should be evaluated alongside other data enrichment tools like ZoomInfo, Clearbit, etc. for consolidation."
Aquila Remete D.O.O.,Department,Facilities,Employee Experience,Aquila Remete is a sports club in Zagreb (basketball/athletics); likely employee wellness benefit or team activity rather than facility maintenance. Reclassified to Employee Experience per rules. Low spend suggests discretionary benefit.
Aquila Remete D.O.O.,Description,Croatian facility maintenance or building services (Zagreb/Split offices),Croatian sports/recreation club (likely employee gym or team activities),Aquila Remete is a sports club in Zagreb (basketball/athletics); likely employee wellness benefit or team activity rather than facility maintenance. Reclassified to Employee Experience per rules. Low spend suggests discretionary benefit.
Aquila Remete D.O.O.,Recommendation,Investigate,Optimize,Aquila Remete is a sports club in Zagreb (basketball/athletics); likely employee wellness benefit or team activity rather than facility maintenance. Reclassified to Employee Experience per rules. Low spend suggests discretionary benefit.
Paint & Fun Vl. Martina Milkova Nikolova,Department,Facilities,Employee Experience,"Name 'Paint & Fun' indicates recreational painting activity (team building/events), not office maintenance painting. Reclassified from Facilities to Employee Experience."
Paint & Fun Vl. Martina Milkova Nikolova,Description,Office painting and decoration services (likely Croatia office),Creative art/painting team activity provider (Croatia),"Name 'Paint & Fun' indicates recreational painting activity (team building/events), not office maintenance painting. Reclassified from Facilities to Employee Experience."
Etm Concessions Ltd,Department,Facilities,Employee Experience,"Vending and breakroom concessions are employee food/snacks, which falls under Employee Experience per classification rules, not Facilities."
Fastspring,Description,E-commerce payment processing and merchant-of-record services,E-commerce payment processing and subscription billing platform,"FastSpring is typically used for software/SaaS product sales as merchant-of-record, not internal finance ops. At $1,179 annual spend, unclear if this supports a revenue-generating product line or is legacy/test account. Need to clarify business purpose before recommending action."
Fastspring,Recommendation,Optimize,Investigate,"FastSpring is typically used for software/SaaS product sales as merchant-of-record, not internal finance ops. At $1,179 annual spend, unclear if this supports a revenue-generating product line or is legacy/test account. Need to clarify business purpose before recommending action."
Icare Nsw,Department,Statutory / Non-discretionary,People & HR,"Workers' comp insurance belongs under People & HR per rules, not Statutory. Still Protected as it's a mandatory statutory requirement for Australian employees."
Amazon.Co.Uk,Department,G&A,Facilities,"At ~$1100/year, this is clearly low-value office supplies/misc items typical for UK office operations. Not worth investigation overhead — consolidate purchasing controls and monitor, but scope is inferrable as standard office consumables."
Amazon.Co.Uk,Description,Amazon UK marketplace purchases — office supplies or misc items,Amazon UK office supplies and miscellaneous purchases,"At ~$1100/year, this is clearly low-value office supplies/misc items typical for UK office operations. Not worth investigation overhead — consolidate purchasing controls and monitor, but scope is inferrable as standard office consumables."
Amazon.Co.Uk,Recommendation,Investigate,Optimize,"At ~$1100/year, this is clearly low-value office supplies/misc items typical for UK office operations. Not worth investigation overhead — consolidate purchasing controls and monitor, but scope is inferrable as standard office consumables."
Oladi D.O.O.,Department,Facilities,Employee Experience,"Employee food/catering goes to Employee Experience per rules, not Facilities. Low spend suggests occasional use; consolidate with other local caterers."
Mãœller Trgovina Zagreb D.O.O.,Department,Facilities,Employee Experience,"Müller is a well-known German/Austrian retail chain (drugstore/variety store) — likely employee snacks, personal care items, or small office sundries for Zagreb office. Not true Facilities; fits Employee Experience. Low spend, can optimize purchasing controls."
Mãœller Trgovina Zagreb D.O.O.,Description,Croatian office supplies or equipment vendor (Zagreb),"German retail chain (drugstore, snacks, household goods)","Müller is a well-known German/Austrian retail chain (drugstore/variety store) — likely employee snacks, personal care items, or small office sundries for Zagreb office. Not true Facilities; fits Employee Experience. Low spend, can optimize purchasing controls."
Mãœller Trgovina Zagreb D.O.O.,Recommendation,Investigate,Optimize,"Müller is a well-known German/Austrian retail chain (drugstore/variety store) — likely employee snacks, personal care items, or small office sundries for Zagreb office. Not true Facilities; fits Employee Experience. Low spend, can optimize purchasing controls."
Lunch Nutrition D.O.O.,Department,Facilities,Employee Experience,"Employee meals/catering belongs to Employee Experience, not Facilities per rule 4. Recommendation and description are otherwise correct."
Allianz Wa,Department,Finance,People & HR,"Workers' comp insurance is an employee benefit/HR function, not Finance. Reclassified to People & HR per rules. Low spend suggests single policy; bundle with other employee insurance."
Allianz Wa,Description,Allianz workers' compensation or commercial insurance,Workers' compensation insurance coverage,"Workers' comp insurance is an employee benefit/HR function, not Finance. Reclassified to People & HR per rules. Low spend suggests single policy; bundle with other employee insurance."
Time Out Group,Department,Marketing,Employee Experience,"At $920/year, this is too small for meaningful advertising spend. Time Out is a city lifestyle/events publication - this likely represents magazine subscriptions, dining guides, or employee perks rather than marketing. Low value, easy cut."
Time Out Group,Description,Time Out media advertising and brand partnerships,Time Out magazine subscriptions or event/dining guides for employees,"At $920/year, this is too small for meaningful advertising spend. Time Out is a city lifestyle/events publication - this likely represents magazine subscriptions, dining guides, or employee perks rather than marketing. Low value, easy cut."
Time Out Group,Recommendation,Investigate,Terminate,"At $920/year, this is too small for meaningful advertising spend. Time Out is a city lifestyle/events publication - this likely represents magazine subscriptions, dining guides, or employee perks rather than marketing. Low value, easy cut."
Urbani Eventi D.O.O.,Department,Facilities,Employee Experience,"Event services and catering for employees should be classified under Employee Experience, not Facilities per rule 4/5. Recommendation remains Optimize given low spend and consolidation potential."
Smashing Media Ag,Recommendation,Terminate,Optimize,"Low-cost professional development resource for engineering/design teams. At $850/year, termination saves negligible amount while potentially impacting team morale and skill development. Better to optimize by reviewing active usage and consolidating licenses if needed."
Bb Football Scouting J.D.O.O.,Department,Facilities,Employee Experience,"J.D.O.O. is Croatian entity; 'Football Scouting' suggests sports/recreation activity rather than facility rental. If confirmed as team-building or employee recreation, belongs in Employee Experience, not Facilities. Retaining Investigate due to unclear business purpose for a tech company."
